,DEA_Sexual_Biofilms_Clinical_Isolates_CAY540_1-FWD_C_albicans__SC5314__,DEA_Sexual_Biofilms_Clinical_Isolates_CAY540P_1-FWD_C_albicans__SC5314__
NOVEL-Ca21chr1-104,0,0
NOVEL-Ca21chr1-105,3.158555143,12.3474178
NOVEL-Ca21chr1-106,0,0
NOVEL-Ca21chr1-107,0,0.94980137
NOVEL-Ca21chr1-108,65.27680628,428.3604176
NOVEL-Ca21chr1-109,0,0
NOVEL-Ca21chr1-110,0,0
NOVEL-Ca21chr1-111,24.21558943,18.99602739
NOVEL-Ca21chr1-112,10.52851714,7.598410956
NOVEL-Ca21chr1-114,16.84562743,15.19682191
NOVEL-Ca21chr1-115,0,0
NOVEL-Ca21chr1-116,0,0
NOVEL-Ca21chr1-118,1.052851714,0
NOVEL-Ca21chr1-119,4.211406857,2.849404109
NOVEL-Ca21chr1-120,4.211406857,10.44781506
NOVEL-Ca21chr1-121,0,0
NOVEL-Ca21chr1-122,446.4091268,176.6630547
NOVEL-Ca21chr1-124,18.95133086,14.24702054
NOVEL-Ca21chr1-125,249.5258563,1186.301911
NOVEL-Ca21chr1-126,47.37832714,38.94185615
NOVEL-Ca21chr1-127,2.105703428,0
NOVEL-Ca21chr1-128,0,1.899602739
NOVEL-Ca21chr1-129,5.264258571,1.899602739
NOVEL-Ca21chr1-130,11.58136886,12.3474178
NOVEL-Ca21chr1-131,0,0
NOVEL-Ca21chr1-132,0,1.899602739
NOVEL-Ca21chr1-133,1.052851714,5.698808217
NOVEL-Ca21chr1-134,3.158555143,0.94980137
NOVEL-Ca21chr1-135,101.0737646,44.64066437
NOVEL-Ca21chr2-001,0,0
NOVEL-Ca21chr2-002,2.105703428,0
NOVEL-Ca21chr2-003,40.00836514,38.94185615
NOVEL-Ca21chr2-004,5.264258571,10.44781506
NOVEL-Ca21chr2-005,16.84562743,8.548212326
NOVEL-Ca21chr2-006,195.8304188,172.8638492
NOVEL-Ca21chr2-007,2.105703428,0.94980137
NOVEL-Ca21chr2-008,53.69543742,27.54423972
NOVEL-Ca21chr2-009,0,0
NOVEL-Ca21chr2-010,869.6555159,467.3022738
NOVEL-Ca21chr2-011,0,0
NOVEL-Ca21chr2-012,11.58136886,29.44384245
NOVEL-Ca21chr2-013,5.264258571,18.99602739
NOVEL-Ca21chr2-014,0,0.94980137
NOVEL-Ca21chr2-015,11.58136886,7.598410956
NOVEL-Ca21chr2-016,2.105703428,0
NOVEL-Ca21chr2-017,0,0.94980137
NOVEL-Ca21chr2-018,98.96806113,155.7674246
NOVEL-Ca21chr2-019,3.158555143,4.749006848
NOVEL-Ca21chr2-020,16.84562743,12.3474178
NOVEL-Ca21chr2-021,28.42699628,9.498013695
NOVEL-Ca21chr2-022,0,3.799205478
NOVEL-Ca21chr2-023,0,0
NOVEL-Ca21chr2-024,8.422813713,4.749006848
NOVEL-Ca21chr2-025,0,0
NOVEL-Ca21chr2-026,7.369961999,7.598410956
NOVEL-Ca21chr2-027,346.388214,364.7237259
NOVEL-Ca21chr2-028,0,2.849404109
NOVEL-Ca21chr2-029,23.16273771,21.8454315
NOVEL-Ca21chr2-030,7.369961999,2.849404109
NOVEL-Ca21chr2-031,0,0
NOVEL-Ca21chr2-032,356.9167311,2592.007937
NOVEL-Ca21chr2-033,108.4437266,1380.06139
NOVEL-Ca21chr2-035,16.84562743,2.849404109
NOVEL-Ca21chr2-036,0,0
NOVEL-Ca21chr2-037,0,0
NOVEL-Ca21chr2-038,0,0
NOVEL-Ca21chr2-039,330.5954382,303.9364382
NOVEL-Ca21chr2-040,207.4117877,619.2704929
NOVEL-Ca21chr2-041,2588.962365,1829.317438
NOVEL-Ca21chr2-042,2.105703428,8.548212326
NOVEL-Ca21chr2-043,0,0
NOVEL-Ca21chr2-044,11.58136886,25.64463698
NOVEL-Ca21chr2-045,0,0
NOVEL-Ca21chr2-046,6.317110285,5.698808217
NOVEL-Ca21chr2-047,81.06958199,101.6287465
NOVEL-Ca21chr2-048,42.11406857,39.89165752
NOVEL-Ca21chr2-049,292.6927765,293.4886232
NOVEL-Ca21chr2-050,2233.098486,1601.365109
NOVEL-Ca21chr2-051,18.95133086,9.498013695
NOVEL-Ca21chr2-052,29.479848,45.59046574
NOVEL-Ca21chr2-053,46.32547542,602.1740683
NOVEL-Ca21chr2-054,28.42699628,32.29324656
NOVEL-Ca21chr2-055,8.422813713,4.749006848
NOVEL-Ca21chr2-056,0,0
NOVEL-Ca21chr2-057,0,0.94980137
NOVEL-Ca21chr2-058,28.42699628,78.83351367
NOVEL-Ca21chr2-059,51.58973399,25.64463698
NOVEL-Ca21chr2-060,21.05703428,10.44781506
NOVEL-Ca21chr2-061,123.1836506,44.64066437
NOVEL-Ca21chr2-062,31.58555143,29.44384245
NOVEL-Ca21chr2-063,149.5049434,191.8598766
NOVEL-Ca21chr2-064,10.52851714,1.899602739
NOVEL-Ca21chr2-065,23.16273771,13.29721917
NOVEL-Ca21chr2-066,0,0
NOVEL-Ca21chr2-067,16.84562743,16.14662328
NOVEL-Ca21chr2-068,15.79277571,11.39761643
NOVEL-Ca21chr2-069,9.475665428,8.548212326
NOVEL-Ca21chr2-070,1.052851714,0.94980137
NOVEL-Ca21chr2-071,3.158555143,1.899602739
NOVEL-Ca21chr2-072,6.317110285,2.849404109
NOVEL-Ca21chr2-073,12.63422057,16.14662328
NOVEL-Ca21chr2-074,3.158555143,0
NOVEL-Ca21chr2-075,95.80950599,169.0646438
NOVEL-Ca21chr2-076,0,3.799205478
NOVEL-Ca21chr2-077,34.74410657,16.14662328
NOVEL-Ca21chr2-078,25.26844114,16.14662328
NOVEL-Ca21chr2-079,1.052851714,0
NOVEL-Ca21chr2-080,28.42699628,18.99602739
NOVEL-Ca21chr2-081,34.74410657,35.14265067
NOVEL-Ca21chr2-082,0,0.94980137
NOVEL-Ca21chr2-083,1.052851714,1.899602739
NOVEL-Ca21chr2-084,12.63422057,26.59443835
NOVEL-Ca21chr2-085,8.422813713,10.44781506
NOVEL-Ca21chr2-086,30.53269971,19.94582876
NOVEL-Ca21chr2-087,0,0
NOVEL-Ca21chr2-088,0,0
NOVEL-Ca21chr2-089,0,0
NOVEL-Ca21chr2-090,1.052851714,0
NOVEL-Ca21chr2-091,8.422813713,54.13867806
NOVEL-Ca21chr2-092,10.52851714,13.29721917
NOVEL-Ca21chr2-093,0,0
NOVEL-Ca21chr2-094,312.6969591,167.165041
NOVEL-Ca21chr2-095,0,0
NOVEL-Ca21chr2-096,1.052851714,24.69483561
NOVEL-Ca21chr2-097,0,0.94980137
NOVEL-Ca21chr3-001,9.475665428,4.749006848
NOVEL-Ca21chr3-002,0,0
NOVEL-Ca21chr3-003,4.211406857,0.94980137
NOVEL-Ca21chr3-004,10.52851714,23.74503424
NOVEL-Ca21chr3-005,2.105703428,0
NOVEL-Ca21chr3-006,5.264258571,0.94980137
NOVEL-Ca21chr3-007,0,1.899602739
NOVEL-Ca21chr3-008,4.211406857,1.899602739
NOVEL-Ca21chr3-009,6.317110285,9.498013695
NOVEL-Ca21chr3-010,1.052851714,0
NOVEL-Ca21chr3-011,0,0
NOVEL-Ca21chr3-012,3.158555143,5.698808217
NOVEL-Ca21chr3-014,855.9684436,889.9638832
NOVEL-Ca21chr3-015,2.105703428,0
NOVEL-Ca21chr3-016,0,4.749006848
NOVEL-Ca21chr3-017,0,0
NOVEL-Ca21chr3-018,0,0
NOVEL-Ca21chr3-019,8.422813713,7.598410956
NOVEL-Ca21chr3-020,0,0
NOVEL-Ca21chr3-021,2.105703428,2.849404109
NOVEL-Ca21chr3-022,15.79277571,21.8454315
NOVEL-Ca21chr3-023,0,0
NOVEL-Ca21chr3-024,2.105703428,0.94980137
NOVEL-Ca21chr3-025,2.105703428,0
NOVEL-Ca21chr3-027,0,0
NOVEL-Ca21chr3-028,1.052851714,1.899602739
NOVEL-Ca21chr3-029,17.89847914,8.548212326
NOVEL-Ca21chr3-030,7.369961999,2.849404109
NOVEL-Ca21chr3-031,0,0
NOVEL-Ca21chr3-032,8.422813713,8.548212326
NOVEL-Ca21chr3-033,49.48403057,54.13867806
NOVEL-Ca21chr3-034,375.868062,246.9483561
NOVEL-Ca21chr3-035,0,0.94980137
NOVEL-Ca21chr3-036,0,3.799205478
NOVEL-Ca21chr3-037,15.79277571,22.79523287
NOVEL-Ca21chr3-038,15.79277571,6.648609587
NOVEL-Ca21chr3-039,0,0.94980137
NOVEL-Ca21chr3-040,7.369961999,6.648609587
NOVEL-Ca21chr3-041,13.68707228,5.698808217
NOVEL-Ca21chr3-042,0,0
NOVEL-Ca21chr3-043,8.422813713,13.29721917
NOVEL-Ca21chr3-044,0,0
NOVEL-Ca21chr3-045,0,0
NOVEL-Ca21chr3-046,292.6927765,202.3076917
NOVEL-Ca21chr3-047,6.317110285,5.698808217
NOVEL-Ca21chr3-048,0,1.899602739
NOVEL-Ca21chr3-049,0,0
NOVEL-Ca21chr3-050,0,0
NOVEL-Ca21chr3-051,1.052851714,2.849404109
NOVEL-Ca21chr3-052,3.158555143,2.849404109
NOVEL-Ca21chr3-053,0,0
NOVEL-Ca21chr3-054,0,0
NOVEL-Ca21chr3-055,1.052851714,0.94980137
NOVEL-Ca21chr3-056,15.79277571,11.39761643
NOVEL-Ca21chr3-057,42.11406857,635.4171162
NOVEL-Ca21chr3-058,0,0
NOVEL-Ca21chr3-059,0,0
NOVEL-Ca21chr3-060,20.00418257,18.04622602
NOVEL-Ca21chr3-061,17.89847914,12.3474178
NOVEL-Ca21chr3-062,16.84562743,6.648609587
NOVEL-Ca21chr3-063,6.317110285,6.648609587
NOVEL-Ca21chr3-064,2.105703428,4.749006848
NOVEL-Ca21chr3-065,0,0
NOVEL-Ca21chr3-067,0,0
NOVEL-Ca21chr4-001,76.85817513,195.6590821
NOVEL-Ca21chr4-002,2.105703428,0
NOVEL-Ca21chr4-003,61.06539942,19.94582876
NOVEL-Ca21chr4-004,5.264258571,7.598410956
NOVEL-Ca21chr4-005,1.052851714,1.899602739
NOVEL-Ca21chr4-006,1.052851714,3.799205478
NOVEL-Ca21chr4-007,12.63422057,17.09642465
NOVEL-Ca21chr4-008,6.317110285,2.849404109
NOVEL-Ca21chr4-011,12.63422057,9.498013695
NOVEL-Ca21chr4-012,2.105703428,0.94980137
NOVEL-Ca21chr4-013,5.264258571,40.84145889
NOVEL-Ca21chr4-014,1.052851714,1.899602739
NOVEL-Ca21chr4-017,130.5536126,251.6973629
NOVEL-Ca21chr4-018,155.8220537,103.5283493
NOVEL-Ca21chr4-019,148.4520917,51.28927395
NOVEL-Ca21chr4-020,7.369961999,18.99602739
NOVEL-Ca21chr4-021,3.158555143,0.94980137
NOVEL-Ca21chr4-022,7.369961999,10.44781506
NOVEL-Ca21chr4-023,1.052851714,3.799205478
NOVEL-Ca21chr4-024,15.79277571,9.498013695
NOVEL-Ca21chr4-025,0,0
NOVEL-Ca21chr4-026,22.109886,8.548212326
NOVEL-Ca21chr4-027,11.58136886,12.3474178
NOVEL-Ca21chr4-028,1.052851714,1.899602739
NOVEL-Ca21chr4-029,48.43117885,28.49404109
NOVEL-Ca21chr4-030,2.105703428,6.648609587
NOVEL-Ca21chr4-031,0,1.899602739
NOVEL-Ca21chr4-032,5.264258571,7.598410956
NOVEL-Ca21chr4-033,14.739924,10.44781506
NOVEL-Ca21chr4-034,2.105703428,1.899602739
NOVEL-Ca21chr4-035,8.422813713,10.44781506
NOVEL-Ca21chr4-036,8.422813713,2.849404109
NOVEL-Ca21chr4-037,1.052851714,1.899602739
NOVEL-Ca21chr4-038,25.26844114,27.54423972
NOVEL-Ca21chr4-039,5.264258571,0
NOVEL-Ca21chr4-040,1862.494682,1592.816897
NOVEL-Ca21chr4-041,2.105703428,0
NOVEL-Ca21chr4-042,1.052851714,2.849404109
NOVEL-Ca21chr4-043,2.105703428,4.749006848
NOVEL-Ca21chr4-044,2.105703428,6.648609587
NOVEL-Ca21chr4-045,13.68707228,4.749006848
NOVEL-Ca21chr4-046,4.211406857,5.698808217
NOVEL-Ca21chr4-047,1.052851714,2.849404109
NOVEL-Ca21chr4-048,41.06121685,35.14265067
NOVEL-Ca21chr4-049,8.422813713,4.749006848
NOVEL-Ca21chr4-050,12.63422057,3.799205478
NOVEL-Ca21chr4-051,0,0
NOVEL-Ca21chr4-053,4.211406857,4.749006848
NOVEL-Ca21chr4-054,6.317110285,18.04622602
NOVEL-Ca21chr4-055,34.74410657,17.09642465
NOVEL-Ca21chr4-056,5.264258571,10.44781506
NOVEL-Ca21chr4-057,0,0
NOVEL-Ca21chr4-058,0,2.849404109
NOVEL-Ca21chr4-059,2.105703428,8.548212326
NOVEL-Ca21chr4-060,16.84562743,30.39364382
NOVEL-Ca21chr4-061,24.21558943,5.698808217
NOVEL-Ca21chr4-062,2.105703428,4.749006848
NOVEL-Ca21chr4-063,27.37414457,11.39761643
NOVEL-Ca21chr4-064,6.317110285,0.94980137
NOVEL-Ca21chr4-065,6.317110285,1.899602739
NOVEL-Ca21chr4-066,0,0
NOVEL-Ca21chr4-069,0,0
NOVEL-Ca21chr4-070,0,0
NOVEL-Ca21chr4-071,0,0.94980137
NOVEL-Ca21chr4-072,0,0
NOVEL-Ca21chr4-073,0,0
NOVEL-Ca21chr4-074,5.264258571,8.548212326
NOVEL-Ca21chr4-075,0,0
NOVEL-Ca21chr5-001,5.264258571,1.899602739
NOVEL-Ca21chr5-002,0,0.94980137
NOVEL-Ca21chr5-003,4.211406857,7.598410956
NOVEL-Ca21chr5-004,0,0
NOVEL-Ca21chr5-005,57.90684428,64.58649313
NOVEL-Ca21chr5-006,5.264258571,4.749006848
NOVEL-Ca21chr5-007,1.052851714,1.899602739
NOVEL-Ca21chr5-008,1.052851714,4.749006848
NOVEL-Ca21chr5-009,0,2.849404109
NOVEL-Ca21chr5-010,6.317110285,1.899602739
NOVEL-Ca21chr5-011,0,1.899602739
NOVEL-Ca21chr5-013,43.16692028,38.94185615
NOVEL-Ca21chr5-014,4.211406857,0
NOVEL-Ca21chr5-015,33.69125485,86.43192462
NOVEL-Ca21chr5-016,0,0
NOVEL-Ca21chr5-017,10.52851714,12.3474178
NOVEL-Ca21chr5-018,3.158555143,3.799205478
NOVEL-Ca21chr5-019,70.54106485,82.63271915
NOVEL-Ca21chr5-021,96.8623577,4188.62404
NOVEL-Ca21chr5-022,16.84562743,71.23510271
NOVEL-Ca21chr5-023,6.317110285,0
NOVEL-Ca21chr5-024,0,0
NOVEL-Ca21chr5-025,34.74410657,18.04622602
NOVEL-Ca21chr5-026,2.105703428,31.34344519
NOVEL-Ca21chr5-027,0,0
NOVEL-Ca21chr5-030,13.68707228,51.28927395
NOVEL-Ca21chr5-031,4.211406857,0
NOVEL-Ca21chr5-032,8.422813713,0.94980137
NOVEL-Ca21chr5-033,3.158555143,0
NOVEL-Ca21chr5-034,0,0.94980137
NOVEL-Ca21chr5-035,0,0
NOVEL-Ca21chr5-036,0,0
NOVEL-Ca21chr5-037,0,0
NOVEL-Ca21chr5-038,16.84562743,11.39761643
NOVEL-Ca21chr5-039,0,0
NOVEL-Ca21chr5-040,5.264258571,0.94980137
NOVEL-Ca21chr5-041,22.109886,6.648609587
NOVEL-Ca21chr5-042,0,0
NOVEL-Ca21chr5-044,1.052851714,2.849404109
NOVEL-Ca21chr5-045,1.052851714,0
NOVEL-Ca21chr5-046,3.158555143,4.749006848
NOVEL-Ca21chr5-047,6.317110285,16.14662328
NOVEL-Ca21chr5-048,0,2.849404109
NOVEL-Ca21chr5-049,0,2.849404109
NOVEL-Ca21chr5-050,0,0
NOVEL-Ca21chr5-051,2865.862366,1625.110143
NOVEL-Ca21chr6-001,0,0
NOVEL-Ca21chr6-002,15.79277571,22.79523287
NOVEL-Ca21chr6-003,9.475665428,14.24702054
NOVEL-Ca21chr6-004,0,0.94980137
NOVEL-Ca21chr6-005,2.105703428,10.44781506
NOVEL-Ca21chr6-006,5.264258571,2.849404109
NOVEL-Ca21chr6-007,2.105703428,1.899602739
NOVEL-Ca21chr6-008,0,0
NOVEL-Ca21chr6-009,0,0
NOVEL-Ca21chr6-010,0,0
NOVEL-Ca21chr6-012,7.369961999,30.39364382
NOVEL-Ca21chr6-013,16.84562743,24.69483561
NOVEL-Ca21chr6-014,1.052851714,3.799205478
NOVEL-Ca21chr6-015,0,0
NOVEL-Ca21chr6-016,15.79277571,24.69483561
NOVEL-Ca21chr6-017,1.052851714,0.94980137
NOVEL-Ca21chr6-018,30.53269971,33.24304793
NOVEL-Ca21chr6-019,0,0
NOVEL-Ca21chr6-020,0,3.799205478
NOVEL-Ca21chr6-021,2.105703428,1.899602739
NOVEL-Ca21chr6-022,0,0
NOVEL-Ca21chr6-023,5.264258571,9.498013695
NOVEL-Ca21chr6-024,0,0
NOVEL-Ca21chr6-025,2.105703428,0
NOVEL-Ca21chr6-026,0,0.94980137
NOVEL-Ca21chr6-027,0,0.94980137
NOVEL-Ca21chr6-028,3.158555143,9.498013695
NOVEL-Ca21chr6-029,4.211406857,7.598410956
NOVEL-Ca21chr6-030,0,0.94980137
NOVEL-Ca21chr6-032,26.32129285,21.8454315
NOVEL-Ca21chr6-033,40.00836514,31.34344519
NOVEL-Ca21chr6-034,6.317110285,1.899602739
NOVEL-Ca21chr6-035,45.27262371,20.89563013
NOVEL-Ca21chr6-036,5.264258571,2.849404109
NOVEL-Ca21chr6-037,1.052851714,0.94980137
NOVEL-Ca21chr6-038,1.052851714,5.698808217
NOVEL-Ca21chr6-039,51.58973399,51.28927395
NOVEL-Ca21chr6-040,0,2.849404109
NOVEL-Ca21chr6-041,0,3.799205478
NOVEL-Ca21chr6-042,6.317110285,2.849404109
NOVEL-Ca21chr6-043,0,0
NOVEL-Ca21chr6-044,88.43954399,35.14265067
NOVEL-Ca21chr7-001,433.7749062,418.862404
NOVEL-Ca21chr7-002,1170.771106,4534.351738
NOVEL-Ca21chr7-003,1.052851714,0
NOVEL-Ca21chr7-004,13.68707228,15.19682191
NOVEL-Ca21chr7-005,1.052851714,0
NOVEL-Ca21chr7-006,38.95551342,316.283856
NOVEL-Ca21chr7-007,0,0
NOVEL-Ca21chr7-008,4.211406857,1.899602739
NOVEL-Ca21chr7-009,2.105703428,0
NOVEL-Ca21chr7-010,14.739924,44.64066437
NOVEL-Ca21chr7-011,0,0
NOVEL-Ca21chr7-012,0,0.94980137
NOVEL-Ca21chr7-013,27.37414457,34.1928493
NOVEL-Ca21chr7-014,1.052851714,4.749006848
NOVEL-Ca21chr7-015,34.74410657,41.79126026
NOVEL-Ca21chr7-016,3.158555143,3.799205478
NOVEL-Ca21chr7-017,0,0
NOVEL-Ca21chr7-018,7.369961999,11.39761643
NOVEL-Ca21chr7-019,9.475665428,4.749006848
NOVEL-Ca21chr7-020,22.109886,9.498013695
NOVEL-Ca21chr7-021,3.158555143,5.698808217
NOVEL-Ca21chr7-022,2.105703428,0.94980137
NOVEL-Ca21chr7-023,3.158555143,3.799205478
NOVEL-Ca21chr7-024,3.158555143,9.498013695
NOVEL-Ca21chr7-025,1.052851714,0
NOVEL-Ca21chr7-026,26.32129285,9.498013695
NOVEL-Ca21chr7-027,46.32547542,33.24304793
NOVEL-Ca21chr7-028,8.422813713,1.899602739
NOVEL-Ca21chr7-029,0,0
NOVEL-Ca21chr7-030,0,0
NOVEL-Ca21chr7-031,8.422813713,0.94980137
NOVEL-Ca21chr7-032,0,0
NOVEL-Ca21chr7-033,0,0
NOVEL-Ca21chr7-034,0,3.799205478
NOVEL-Ca21chr7-035,0,1.899602739
NOVEL-Ca21chr7-036,66.32965799,656.3127463
NOVEL-Ca21chr7-037,193.7247154,178.5626575
NOVEL-Ca21chr7-038,12.63422057,20.89563013
NOVEL-Ca21chr7-039,3.158555143,7.598410956
NOVEL-Ca21chr7-040,0,0
NOVEL-Ca21chr7-042,25.26844114,30.39364382
NOVEL-Ca21chr7-043,16.84562743,16.14662328
NOVEL-Ca21chr7-044,0,0
NOVEL-Ca21chr7-045,0,1.899602739
NOVEL-Ca21chr7-046,1.052851714,8.548212326
NOVEL-Ca21chr7-048,115.8136886,41.79126026
NOVEL-Ca21chr7-049,0,0
NOVEL-Ca21chr7-050,45.27262371,43.690863
NOVEL-Ca21chr7-051,0,0.94980137
NOVEL-Ca21chr7-052,0,0
NOVEL-Ca21chr7-053,30.53269971,31.34344519
